# log10(T[K])  Vol_PDF  Mass_PDF  Diff_emm  Den_pdf
3.993009567260742188e+00 5.331403502361436487e-03 6.049676589176340435e-01 2.121251486416617649e-01 7.085310413518890904e+00
3.999029159545898438e+00 5.309185857405643999e-03 6.136304675348627224e-01 2.374403747498339823e-01 6.955755455738850124e+00
4.005048751831054688e+00 5.621513567752128154e-03 6.347301176121057376e-01 2.695740591860016910e-01 7.325609736851857789e+00
4.011067867279052734e+00 5.782620825267763449e-03 6.527685259850271038e-01 3.111629578075257307e-01 7.443355460607347318e+00
4.017086982727050781e+00 6.164279106770166432e-03 7.437587041897951723e-01 4.027306370894591647e-01 9.346065527706702625e+00
4.023106575012207031e+00 6.432850273303635305e-03 7.527850746430235773e-01 4.535485799347072633e-01 9.171398970912981952e+00
4.029126167297363281e+00 6.856618672148919943e-03 7.762123537224293601e-01 5.206310387777961513e-01 9.111499089933925433e+00
4.035145282745361328e+00 6.583898832701102002e-03 7.595207750587473772e-01 5.762266263359686613e-01 8.772987001118632833e+00
4.041164398193359375e+00 7.348526422696248853e-03 7.723587622163007316e-01 6.492347972516984145e-01 8.364718430625243784e+00
4.047183990478515625e+00 7.295202169567611451e-03 7.617051743369910310e-01 7.228883881028093095e-01 8.156390103983557793e+00
4.053203582763671875e+00 7.945318306519221288e-03 8.090235837361277049e-01 9.035087889344955991e-01 8.904652635966263219e+00
4.059222698211669922e+00 7.901509536888395857e-03 8.391846100820198329e-01 1.078244211421739873e+00 8.999324563136910982e+00
4.065241813659667969e+00 7.589846985407785671e-03 7.627551378413609529e-01 1.125313698721752242e+00 7.598823192354560163e+00
4.071261405944824219e+00 7.685736805042702943e-03 7.151292159640373347e-01 1.156878192420470519e+00 6.136489625971485395e+00
4.077280998229980469e+00 8.058928367289162550e-03 7.193656585758669841e-01 1.326277906017607311e+00 5.809662832711753211e+00
4.083300113677978516e+00 8.287569850087814216e-03 6.775229765936606752e-01 1.368814179800241781e+00 4.840698288164681173e+00
4.089319229125976562e+00 8.214883719916434707e-03 6.399248125036021140e-01 1.465076450761467308e+00 4.252903143467640312e+00
4.095338821411132812e+00 8.296041282179788742e-03 6.442359887452746570e-01 1.693676826182906936e+00 4.080427082252515270e+00
4.101358413696289062e+00 8.710277120107542612e-03 6.190180720367156608e-01 1.819032416484451797e+00 3.453163559146373185e+00
4.107377529144287109e+00 8.897809030229415772e-03 5.650479020978953493e-01 1.791758289974035856e+00 2.731133243720848203e+00
4.113396644592285156e+00 8.282579654428823615e-03 5.050475335194738458e-01 1.737046174090132400e+00 2.142419875287148390e+00
