#Te	Ar	Ar+1	Ar+2	Ar+3	Ar+4	Ar+5	Ar+6	Ar+7	Ar+8	Ar+9	Ar+10	Ar+11	Ar+12	Ar+13	Ar+14	Ar+15	Ar+16	Ar+17	Ar+18
3.00	-0.00	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.10	-0.00	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.20	-0.00	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.30	-0.00	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.40	-0.00	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.50	-0.00	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.60	-0.00	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.70	0.00	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.80	0.00	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.90	-0.00	-7.15	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.00	-0.00	-4.44	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.10	-0.01	-1.73	-8.26	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.20	-0.19	-0.44	-4.49	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.30	-0.91	-0.06	-2.35	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.40	-1.79	-0.06	-0.95	-6.92	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.50	-2.83	-0.39	-0.23	-3.93	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.60	-3.93	-0.92	-0.06	-2.11	-6.73	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.70	-5.05	-1.57	-0.07	-0.91	-3.94	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.80	-6.31	-2.45	-0.35	-0.26	-2.09	-6.45	--	--	--	--	--	--	--	--	--	--	--	--	--
