#Te	Be	Be+1	Be+2	Be+3	Be+4
3.00	-0.00	-5.39	--	--	--
3.10	-0.00	-5.27	--	--	--
3.20	-0.00	-5.84	--	--	--
3.30	-0.00	-6.26	--	--	--
3.40	-0.00	-6.23	--	--	--
3.50	-0.00	-6.34	--	--	--
3.60	-0.00	-6.04	--	--	--
3.70	-0.00	-4.08	--	--	--
3.80	-0.00	-2.69	--	--	--
3.90	-0.01	-1.79	--	--	--
4.00	-0.02	-1.30	-7.79	--	--
4.10	-0.10	-0.69	-4.25	--	--
4.20	-0.36	-0.26	-2.15	--	--
4.30	-0.85	-0.17	-0.75	--	--
4.40	-1.78	-0.61	-0.13	--	--
4.50	-2.97	-1.36	-0.02	--	--
4.60	-4.05	-2.05	-0.00	--	--
4.70	-4.99	-2.64	-0.00	--	--
4.80	-5.80	-3.13	-0.00	--	--
4.90	-6.50	-3.55	-0.00	-7.45	--
5.00	-7.12	-3.90	-0.00	-5.30	--
5.10	-7.67	-4.20	-0.00	-3.56	--
5.20	-8.16	-4.45	-0.00	-2.16	-7.05
5.30	-8.60	-4.67	-0.04	-1.06	-4.40
5.40	--	-4.96	-0.25	-0.36	-2.46
5.50	--	-5.39	-0.69	-0.13	-1.21
5.60	--	-5.89	-1.24	-0.22	-0.47
5.70	--	-6.53	-1.93	-0.58	-0.14
5.80	--	-7.24	-2.66	-1.05	-0.04
5.90	--	-7.92	-3.33	-1.49	-0.01
6.00	--	-8.54	-3.93	-1.89	-0.01
6.10	--	--	-4.47	-2.22	-0.00
6.20	--	--	-4.95	-2.52	-0.00
6.30	--	--	-5.39	-2.77	-0.00
6.40	--	--	-5.79	-3.00	-0.00
6.50	--	--	-6.16	-3.20	-0.00
6.60	--	--	-6.51	-3.37	-0.00
6.70	--	--	-6.83	-3.54	-0.00
6.80	--	--	-7.14	-3.69	-0.00
6.90	--	--	-7.43	-3.82	-0.00
7.00	--	--	-7.70	-3.95	-0.00
7.10	--	--	-7.97	-4.08	-0.00
7.20	--	--	-8.22	-4.20	-0.00
7.30	--	--	-8.47	-4.31	-0.00
7.40	--	--	-8.72	-4.43	-0.00
7.50	--	--	-8.96	-4.54	-0.00
7.60	--	--	--	-4.65	-0.00
7.70	--	--	--	-4.76	-0.00
7.80	--	--	--	-4.87	-0.00
7.90	--	--	--	-4.98	-0.00
8.00	--	--	--	-5.09	-0.00
8.10	--	--	--	-5.20	-0.00
8.20	--	--	--	-5.32	-0.00
8.30	--	--	--	-5.43	-0.00
8.40	--	--	--	-5.55	-0.00
8.50	--	--	--	-5.67	-0.00
8.60	--	--	--	-5.79	-0.00
8.70	--	--	--	-5.91	-0.00
8.80	--	--	--	-6.03	-0.00
8.90	--	--	--	-6.15	-0.00
9.00	--	--	--	-6.28	-0.00
