#Te	Cu	Cu+1	Cu+2	Cu+3	Cu+4	Cu+5	Cu+6	Cu+7	Cu+8	Cu+9	Cu+10	Cu+11	Cu+12	Cu+13	Cu+14	Cu+15	Cu+16	Cu+17	Cu+18	Cu+19	Cu+20	Cu+21	Cu+22	Cu+23	Cu+24	Cu+25	Cu+26	Cu+27	Cu+28	Cu+29
3.00	-0.00	-4.58	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.10	-0.00	-4.45	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.20	-0.00	-5.02	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.30	-0.00	-5.45	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.40	-0.00	-5.44	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.50	-0.00	-5.44	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.60	-0.00	-3.87	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.70	-0.00	-2.20	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.80	-0.05	-0.97	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.90	-0.33	-0.28	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.00	-0.75	-0.08	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.10	-1.51	-0.01	-6.90	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.20	-2.26	-0.00	-4.09	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.30	-2.86	-0.01	-1.95	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.40	-3.49	-0.15	-0.54	-6.63	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.50	-4.53	-0.79	-0.08	-3.95	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.60	-5.61	-1.54	-0.02	-2.21	-7.08	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.70	-6.54	-2.20	-0.05	-1.01	-4.23	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.80	-7.50	-2.93	-0.28	-0.33	-2.27	-6.39	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.90	-8.60	-3.84	-0.79	-0.12	-1.07	-3.83	-8.86	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
5.00	--	-4.87	-1.48	-0.25	-0.40	-2.07	-5.67	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
5.10	--	-6.02	-2.35	-0.66	-0.17	-0.98	-3.42	-7.31	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
5.20	--	-7.24	-3.35	-1.29	-0.28	-0.38	-1.89	-4.58	-8.64	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
5.30	--	-8.52	-4.44	-2.07	-0.65	-0.19	-0.94	-2.66	-5.58	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
5.40	--	--	-5.59	-2.97	-1.21	-0.29	-0.42	-1.37	-3.36	-5.96	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
5.50	--	--	-6.82	-3.99	-1.95	-0.66	-0.29	-0.61	-1.86	-3.61	-6.63	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
5.60	--	--	-8.14	-5.14	-2.87	-1.28	-0.49	-0.30	-0.95	-2.02	-4.21	-6.90	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
5.70	--	--	--	-6.37	-3.91	-2.07	-0.94	-0.34	-0.50	-1.02	-2.53	-4.49	-7.54	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
5.80	--	--	--	-7.66	-5.05	-3.00	-1.59	-0.65	-0.41	-0.49	-1.46	-2.80	-5.05	-7.99	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
5.90	--	--	--	-8.98	-6.23	-4.02	-2.36	-1.14	-0.59	-0.30	-0.83	-1.67	-3.27	-5.51	-8.09	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
6.00	--	--	--	--	-7.41	-5.05	-3.20	-1.75	-0.93	-0.35	-0.53	-0.93	-2.01	-3.69	-5.66	-7.66	--	--	--	--	--	--	--	--	--	--	--	--	--	--
6.10	--	--	--	--	-8.58	-6.11	-4.09	-2.45	-1.41	-0.60	-0.48	-0.51	-1.17	-2.39	-3.88	-5.34	-7.02	-8.89	--	--	--	--	--	--	--	--	--	--	--	--
6.20	--	--	--	--	--	-7.19	-5.04	-3.24	-2.02	-1.01	-0.66	-0.36	-0.68	-1.54	-2.63	-3.65	-4.76	-6.02	-7.48	-8.45	--	--	--	--	--	--	--	--	--	--
6.30	--	--	--	--	--	-8.28	-6.01	-4.08	-2.71	-1.53	-1.00	-0.40	-0.45	-1.01	-1.78	-2.45	-3.07	-3.83	-4.73	-5.32	--	--	--	--	--	--	--	--	--	--
6.40	--	--	--	--	--	--	-6.97	-4.94	-3.43	-2.13	-1.45	-0.58	-0.40	-0.72	-1.24	-1.63	-1.83	-2.15	-2.61	-2.90	-5.74	--	--	--	--	--	--	--	--	--
6.50	--	--	--	--	--	--	-8.05	-5.93	-4.32	-2.90	-2.10	-0.98	-0.63	-0.76	-1.07	-1.23	-1.06	-1.01	-1.11	-1.16	-3.31	-5.87	-8.73	--	--	--	--	--	--	--
6.60	--	--	--	--	--	--	--	-7.48	-5.79	-4.28	-3.38	-2.04	-1.54	-1.51	-1.66	-1.63	-1.14	-0.78	-0.58	-0.43	-2.02	-3.96	-6.14	-8.60	--	--	--	--	--	--
