#Te	He	He+1	He+2
3.00	0.00	--	--
3.10	0.00	--	--
3.20	0.00	--	--
3.30	0.00	--	--
3.40	0.00	--	--
3.50	0.00	--	--
3.60	0.00	--	--
3.70	0.00	--	--
3.80	0.00	--	--
3.90	0.00	--	--
4.00	0.00	--	--
4.10	-0.00	-6.45	--
4.20	-0.00	-3.93	--
4.30	-0.00	-2.16	--
4.40	-0.07	-0.81	-8.73
4.50	-0.55	-0.15	-5.71
4.60	-1.35	-0.02	-3.70
4.70	-2.07	-0.01	-2.16
4.80	-2.67	-0.05	-0.97
4.90	-3.33	-0.34	-0.26
5.00	-4.15	-0.95	-0.05
5.10	-4.91	-1.59	-0.01
5.20	-5.58	-2.14	-0.00
5.30	-6.16	-2.61	-0.00
5.40	-6.69	-3.01	-0.00
5.50	-7.17	-3.35	-0.00
5.60	-7.61	-3.64	-0.00
5.70	-8.03	-3.90	-0.00
5.80	-8.42	-4.14	-0.00
5.90	-8.78	-4.34	-0.00
6.00	--	-4.53	-0.00
6.10	--	-4.71	-0.00
6.20	--	-4.87	-0.00
6.30	--	-5.02	-0.00
6.40	--	-5.16	-0.00
6.50	--	-5.30	-0.00
6.60	--	-5.42	-0.00
6.70	--	-5.55	-0.00
6.80	--	-5.66	-0.00
6.90	--	-5.78	-0.00
7.00	--	-5.89	-0.00
7.10	--	-6.00	-0.00
7.20	--	-6.11	-0.00
7.30	--	-6.22	-0.00
7.40	--	-6.33	-0.00
7.50	--	-6.43	-0.00
7.60	--	-6.54	-0.00
7.70	--	-6.65	-0.00
7.80	--	-6.76	-0.00
7.90	--	-6.87	-0.00
8.00	--	-6.98	-0.00
8.10	--	-7.09	-0.00
8.20	--	-7.21	-0.00
8.30	--	-7.32	-0.00
8.40	--	-7.43	0.00
8.50	--	-7.55	0.00
8.60	--	-7.67	0.00
8.70	--	-7.78	0.00
8.80	--	-7.90	0.00
8.90	--	-8.02	0.00
9.00	--	-8.14	0.00
