#Te	H	H+1
3.00	-1.76	--
3.10	-1.77	--
3.20	-0.55	--
3.30	-0.04	--
3.40	-0.00	--
3.50	-0.00	--
3.60	-0.00	--
3.70	-0.00	--
3.80	-0.00	--
3.90	-0.00	-7.91
4.00	-0.00	-3.36
4.10	-0.02	-1.33
4.20	-0.30	-0.30
4.30	-1.06	-0.04
4.40	-1.87	-0.01
4.50	-2.56	-0.00
4.60	-3.14	-0.00
4.70	-3.62	-0.00
4.80	-4.04	-0.00
4.90	-4.40	-0.00
5.00	-4.71	-0.00
5.10	-4.99	-0.00
5.20	-5.23	-0.00
5.30	-5.45	-0.00
5.40	-5.65	-0.00
5.50	-5.84	-0.00
5.60	-6.01	-0.00
5.70	-6.17	-0.00
5.80	-6.32	-0.00
5.90	-6.45	-0.00
6.00	-6.59	-0.00
6.10	-6.71	-0.00
6.20	-6.83	-0.00
6.30	-6.94	-0.00
6.40	-7.06	-0.00
6.50	-7.16	-0.00
6.60	-7.27	-0.00
6.70	-7.37	-0.00
6.80	-7.47	-0.00
6.90	-7.58	0.00
7.00	-7.68	0.00
7.10	-7.78	0.00
7.20	-7.88	0.00
7.30	-7.98	0.00
7.40	-8.08	0.00
7.50	-8.18	0.00
7.60	-8.28	0.00
7.70	-8.39	0.00
7.80	-8.49	0.00
7.90	-8.59	0.00
8.00	-8.70	0.00
8.10	-8.80	0.00
8.20	-8.91	0.00
8.30	--	0.00
8.40	--	0.00
8.50	--	0.00
8.60	--	0.00
8.70	--	0.00
8.80	--	0.00
8.90	--	0.00
9.00	--	0.00
