#Te	Li	Li+1	Li+2	Li+3
3.00	-0.00	-4.89	--	--
3.10	-0.00	-4.75	--	--
3.20	-0.00	-5.29	--	--
3.30	-0.00	-5.56	--	--
3.40	-0.00	-4.11	--	--
3.50	-0.00	-1.96	--	--
3.60	-0.11	-0.65	--	--
3.70	-0.65	-0.11	--	--
3.80	-1.37	-0.02	--	--
3.90	-1.95	-0.00	--	--
4.00	-2.30	-0.00	--	--
4.10	-2.98	-0.00	--	--
4.20	-3.62	-0.00	--	--
4.30	-4.10	-0.00	--	--
4.40	-4.51	-0.00	--	--
4.50	-4.86	-0.00	--	--
4.60	-5.16	-0.00	-7.15	--
4.70	-5.42	-0.00	-4.77	--
4.80	-5.65	-0.00	-2.92	--
4.90	-5.86	-0.01	-1.48	-6.75
5.00	-6.16	-0.17	-0.49	-4.05
5.10	-6.75	-0.69	-0.10	-2.28
5.20	-7.37	-1.31	-0.06	-1.12
5.30	-7.94	-1.93	-0.24	-0.39
5.40	-8.62	-2.66	-0.70	-0.10
5.50	--	-3.41	-1.25	-0.03
5.60	--	-4.09	-1.75	-0.01
5.70	--	-4.68	-2.18	-0.00
5.80	--	-5.22	-2.55	-0.00
5.90	--	-5.70	-2.86	-0.00
6.00	--	-6.14	-3.14	-0.00
6.10	--	-6.55	-3.37	-0.00
6.20	--	-6.93	-3.59	-0.00
6.30	--	-7.29	-3.78	-0.00
6.40	--	-7.62	-3.95	-0.00
6.50	--	-7.94	-4.10	-0.00
6.60	--	-8.24	-4.25	-0.00
6.70	--	-8.53	-4.38	-0.00
6.80	--	-8.81	-4.51	-0.00
6.90	--	--	-4.63	-0.00
7.00	--	--	-4.75	-0.00
7.10	--	--	-4.86	-0.00
7.20	--	--	-4.97	-0.00
7.30	--	--	-5.08	-0.00
7.40	--	--	-5.19	-0.00
7.50	--	--	-5.30	-0.00
7.60	--	--	-5.41	-0.00
7.70	--	--	-5.52	-0.00
7.80	--	--	-5.64	-0.00
7.90	--	--	-5.75	-0.00
8.00	--	--	-5.86	-0.00
8.10	--	--	-5.98	-0.00
8.20	--	--	-6.09	-0.00
8.30	--	--	-6.21	-0.00
8.40	--	--	-6.33	-0.00
8.50	--	--	-6.45	-0.00
8.60	--	--	-6.57	-0.00
8.70	--	--	-6.69	-0.00
8.80	--	--	-6.81	-0.00
8.90	--	--	-6.93	-0.00
9.00	--	--	-7.06	-0.00
