#Te	Ti	Ti+1	Ti+2	Ti+3	Ti+4	Ti+5	Ti+6	Ti+7	Ti+8	Ti+9	Ti+10	Ti+11	Ti+12	Ti+13	Ti+14	Ti+15	Ti+16	Ti+17	Ti+18	Ti+19	Ti+20	Ti+21	Ti+22
3.00	-0.00	-3.40	-7.07	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.10	-0.00	-3.33	-6.92	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.20	-0.00	-2.53	-7.44	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.30	-0.00	-2.05	-7.83	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.40	-0.00	-2.04	-7.79	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.50	-0.00	-2.18	-7.89	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.60	-0.01	-1.63	-8.25	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.70	-0.19	-0.45	-8.16	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.80	-0.84	-0.07	-6.73	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.90	-1.57	-0.01	-4.71	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.00	-3.58	-0.00	-3.27	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.10	-3.81	-0.01	-1.85	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.20	-4.07	-0.10	-0.69	-7.97	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.30	-4.73	-0.56	-0.14	-4.61	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.40	-5.69	-1.27	-0.03	-2.42	-8.64	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.50	-6.63	-1.96	-0.05	-1.04	-5.38	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.60	-7.66	-2.76	-0.30	-0.30	-3.12	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
