#Te	V	V+1	V+2	V+3	V+4	V+5	V+6	V+7	V+8	V+9	V+10	V+11	V+12	V+13	V+14	V+15	V+16	V+17	V+18	V+19	V+20	V+21	V+22	V+23
3.00	-0.00	-4.59	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.10	-0.00	-4.47	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.20	-0.00	-5.03	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.30	-0.00	-5.46	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.40	-0.00	-5.39	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.50	-0.00	-3.49	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.60	-0.01	-1.68	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.70	-0.19	-0.46	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.80	-0.85	-0.07	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
3.90	-1.58	-0.01	-6.80	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.00	-2.04	-0.00	-4.40	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.10	-2.79	-0.00	-2.25	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.20	-3.52	-0.05	-0.95	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.30	-4.40	-0.41	-0.22	-5.83	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.40	-5.51	-1.10	-0.04	-3.32	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.50	-6.55	-1.80	-0.02	-1.56	-6.08	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.60	-7.57	-2.53	-0.17	-0.49	-3.38	-9.00	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.70	-8.79	-3.52	-0.68	-0.11	-1.71	-5.51	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.80	--	-4.61	-1.38	-0.13	-0.68	-3.12	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
4.90	--	-5.84	-2.29	-0.49	-0.19	-1.64	-8.13	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
5.00	--	-7.15	-3.33	-1.09	-0.11	-0.85	-5.61	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
5.10	--	-8.38	-4.34	-1.75	-0.22	-0.43	-3.82	-8.25	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
5.20	--	--	-5.27	-2.39	-0.41	-0.22	-2.51	-5.65	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
5.30	--	--	-6.10	-2.99	-0.65	-0.13	-1.54	-3.65	-6.94	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
5.40	--	--	-6.88	-3.58	-0.93	-0.14	-0.84	-2.13	-4.47	-7.53	--	--	--	--	--	--	--	--	--	--	--	--	--	--
5.50	--	--	-7.70	-4.23	-1.35	-0.30	-0.43	-1.06	-2.65	-4.81	-8.00	--	--	--	--	--	--	--	--	--	--	--	--	--
5.60	--	--	-8.66	-5.07	-1.99	-0.71	-0.38	-0.47	-1.45	-2.90	-5.23	-7.84	--	--	--	--	--	--	--	--	--	--	--	--
5.70	--	--	--	-6.06	-2.82	-1.33	-0.62	-0.28	-0.78	-1.65	-3.27	-5.11	-7.56	--	--	--	--	--	--	--	--	--	--	--
5.80	--	--	--	-7.13	-3.76	-2.07	-1.06	-0.37	-0.47	-0.88	-1.90	-3.11	-4.78	-5.75	--	--	--	--	--	--	--	--	--	--
5.90	--	--	--	-8.27	-4.80	-2.91	-1.65	-0.69	-0.47	-0.51	-1.01	-1.68	-2.71	-3.09	-7.68	--	--	--	--	--	--	--	--	--
6.00	--	--	--	--	-6.02	-3.93	-2.47	-1.28	-0.81	-0.54	-0.61	-0.81	-1.30	-1.28	-4.70	-8.97	--	--	--	--	--	--	--	--
6.10	--	--	--	--	-7.65	-5.37	-3.76	-2.38	-1.70	-1.19	-0.87	-0.68	-0.71	-0.42	-2.93	-6.13	--	--	--	--	--	--	--	--
6.20	--	--	--	--	--	-7.04	-5.30	-3.78	-2.93	-2.23	-1.57	-1.03	-0.68	-0.18	-1.98	-4.35	-7.22	--	--	--	--	--	--	--
6.30	--	--	--	--	--	-8.60	-6.74	-5.10	-4.12	-3.27	-2.31	-1.47	-0.79	-0.12	-1.36	-3.07	-5.20	-7.82	--	--	--	--	--	--
6.40	--	--	--	--	--	--	-8.05	-6.31	-5.23	-4.24	-3.02	-1.91	-0.97	-0.13	-0.91	-2.09	-3.62	-5.55	-7.83	--	--	--	--	--
6.50	--	--	--	--	--	--	--	-7.44	-6.28	-5.19	-3.72	-2.38	-1.20	-0.20	-0.60	-1.35	-2.40	-3.76	-5.43	-7.25	--	--	--	--
6.60	--	--	--	--	--	--	--	-8.57	-7.33	-6.17	-4.48	-2.92	-1.55	-0.38	-0.45	-0.82	-1.46	-2.37	-3.53	-4.81	-6.40	-7.87	--	--
