# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
1.000000e+01	4.580893e-29
1.258925e+01	8.564235e-29
1.584893e+01	1.669555e-28
1.995262e+01	3.384103e-28
2.511886e+01	6.851740e-28
3.162278e+01	1.294909e-27
3.981072e+01	2.278560e-27
5.011872e+01	3.762109e-27
6.309573e+01	5.911103e-27
7.943282e+01	9.147789e-27
1.000000e+02	1.411920e-26
1.258925e+02	2.174104e-26
1.584893e+02	3.278481e-26
1.995262e+02	4.759512e-26
2.511886e+02	6.603722e-26
3.162278e+02	8.682582e-26
3.981072e+02	1.095055e-25
5.011872e+02	1.332183e-25
6.309573e+02	1.571493e-25
7.943282e+02	1.815108e-25
1.000000e+03	2.067280e-25
1.258925e+03	2.311916e-25
1.584893e+03	2.583457e-25
1.995262e+03	2.918039e-25
2.511886e+03	3.340769e-25
3.162278e+03	3.913924e-25
3.981072e+03	4.693243e-25
5.011872e+03	5.806954e-25
6.309573e+03	7.603311e-25
7.943282e+03	1.125435e-24
1.000000e+04	2.491669e-24
1.258925e+04	1.239741e-23
1.584893e+04	9.459999e-23
1.995262e+04	1.461280e-22
2.511886e+04	1.125587e-22
3.162278e+04	1.128416e-22
3.981072e+04	1.389194e-22
5.011872e+04	1.950703e-22
6.309573e+04	2.941779e-22
7.943282e+04	4.303766e-22
1.000000e+05	4.888300e-22
1.258925e+05	4.456294e-22
1.584893e+05	4.548157e-22
1.995262e+05	4.883844e-22
2.511886e+05	4.998793e-22
3.162278e+05	3.331930e-22
3.981072e+05	1.999105e-22
5.011872e+05	1.778414e-22
6.309573e+05	1.588411e-22
7.943282e+05	1.445250e-22
1.000000e+06	1.442963e-22
1.258925e+06	1.402105e-22
1.584893e+06	1.250013e-22
1.995262e+06	8.281497e-23
2.511886e+06	5.367027e-23
3.162278e+06	3.890664e-23
3.981072e+06	3.201718e-23
5.011872e+06	2.980113e-23
6.309573e+06	2.948397e-23
7.943282e+06	3.028935e-23
1.000000e+07	3.055018e-23
1.258925e+07	2.752055e-23
1.584893e+07	2.298200e-23
1.995262e+07	2.058829e-23
2.511886e+07	2.007409e-23
3.162278e+07	2.063921e-23
3.981072e+07	2.188025e-23
5.011872e+07	2.362708e-23
6.309573e+07	2.580888e-23
7.943282e+07	2.840136e-23
1.000000e+08	3.140109e-23
1.258925e+08	3.487391e-23
1.584893e+08	3.892050e-23
1.995262e+08	4.368348e-23
2.511886e+08	4.937231e-23
3.162278e+08	5.621006e-23
3.981072e+08	6.458123e-23
5.011872e+08	7.496825e-23
6.309573e+08	8.816800e-23
7.943282e+08	1.052887e-22
1.000000e+09	1.281367e-22
