# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
1.000000e+01	5.309912e-27
1.002305e+01	5.319002e-27
1.004616e+01	5.332620e-27
1.006932e+01	5.341687e-27
1.009253e+01	5.350745e-27
1.011579e+01	5.364314e-27
1.013911e+01	5.373349e-27
1.016249e+01	5.382374e-27
1.018591e+01	5.395896e-27
1.020939e+01	5.404900e-27
1.023293e+01	5.413895e-27
1.025652e+01	5.427372e-27
1.028016e+01	5.436346e-27
1.030386e+01	5.445312e-27
1.032761e+01	5.458745e-27
1.035142e+01	5.467691e-27
1.037528e+01	5.481094e-27
1.039920e+01	5.490019e-27
1.042317e+01	5.498937e-27
1.044720e+01	5.512300e-27
1.047129e+01	5.521198e-27
1.049542e+01	5.534534e-27
1.051962e+01	5.543414e-27
1.054387e+01	5.552286e-27
1.056818e+01	5.565583e-27
1.059254e+01	5.574439e-27
1.061696e+01	5.587710e-27
1.064143e+01	5.596548e-27
1.066596e+01	5.609794e-27
1.069055e+01	5.618615e-27
1.071519e+01	5.631836e-27
1.073989e+01	5.640643e-27
1.076465e+01	5.649443e-27
1.078947e+01	5.662630e-27
1.081434e+01	5.671415e-27
1.083927e+01	5.684581e-27
1.086426e+01	5.693350e-27
1.088930e+01	5.706494e-27
1.091440e+01	5.715250e-27
1.093956e+01	5.728372e-27
1.096478e+01	5.737114e-27
1.099006e+01	5.750216e-27
1.101539e+01	5.763307e-27
1.104079e+01	5.772027e-27
1.106624e+01	5.785099e-27
1.109175e+01	5.793807e-27
1.111732e+01	5.806861e-27
1.114295e+01	5.815557e-27
1.116863e+01	5.828593e-27
1.119438e+01	5.837278e-27
1.122018e+01	5.850297e-27
1.124605e+01	5.863307e-27
1.127197e+01	5.871973e-27
1.129796e+01	5.884967e-27
1.132400e+01	5.893624e-27
1.135011e+01	5.906603e-27
1.137627e+01	5.919573e-27
1.140250e+01	5.928214e-27
1.142878e+01	5.941171e-27
1.145513e+01	5.954120e-27
1.148154e+01	5.962747e-27
1.150800e+01	5.975682e-27
1.153453e+01	5.984302e-27
1.156112e+01	5.997226e-27
1.158777e+01	6.010142e-27
1.161449e+01	6.018750e-27
1.164126e+01	6.031655e-27
1.166810e+01	6.044555e-27
1.169499e+01	6.053151e-27
1.172195e+01	6.066042e-27
1.174898e+01	6.078925e-27
1.177606e+01	6.091803e-27
1.180321e+01	6.100387e-27
1.183042e+01	6.113257e-27
1.185769e+01	6.126123e-27
1.188502e+01	6.138984e-27
1.191242e+01	6.147557e-27
1.193988e+01	6.160411e-27
1.196741e+01	6.173261e-27
1.199499e+01	6.181826e-27
1.202264e+01	6.194671e-27
1.205036e+01	6.207513e-27
1.207814e+01	6.220352e-27
1.210598e+01	6.233188e-27
1.213389e+01	6.241744e-27
1.216186e+01	6.254576e-27
1.218990e+01	6.267405e-27
1.221800e+01	6.280234e-27
1.224616e+01	6.293060e-27
1.227439e+01	6.301610e-27
1.230269e+01	6.314434e-27
1.233105e+01	6.327258e-27
1.235947e+01	6.340080e-27
1.238797e+01	6.352901e-27
1.241652e+01	6.365723e-27
1.244515e+01	6.378544e-27
1.247384e+01	6.387092e-27
1.250259e+01	6.399913e-27
1.253141e+01	6.412735e-27
1.256030e+01	6.425559e-27
1.258925e+01	6.438381e-27
1.261828e+01	6.451207e-27
1.264736e+01	6.464032e-27
1.267652e+01	6.476861e-27
1.270574e+01	6.489691e-27
1.273503e+01	6.502522e-27
1.276439e+01	6.511079e-27
1.279381e+01	6.523914e-27
1.282331e+01	6.536752e-27
1.285287e+01	6.549593e-27
1.288250e+01	6.562438e-27
1.291219e+01	6.575286e-27
1.294196e+01	6.588137e-27
1.297179e+01	6.600992e-27
1.300170e+01	6.613851e-27
1.303167e+01	6.626714e-27
1.306171e+01	6.639581e-27
1.309182e+01	6.652453e-27
1.312200e+01	6.665329e-27
1.315225e+01	6.678212e-27
1.318257e+01	6.691100e-27
1.321296e+01	6.703992e-27
1.324342e+01	6.716891e-27
1.327394e+01	6.729795e-27
1.330454e+01	6.742705e-27
1.333521e+01	6.759930e-27
1.336596e+01	6.772856e-27
1.339677e+01	6.785789e-27
1.342765e+01	6.798728e-27
1.345860e+01	6.811675e-27
1.348963e+01	6.824630e-27
1.352073e+01	6.837593e-27
1.355189e+01	6.850563e-27
1.358313e+01	6.863541e-27
1.361445e+01	6.876528e-27
1.364583e+01	6.893857e-27
1.367729e+01	6.906866e-27
1.370882e+01	6.919882e-27
1.374042e+01	6.932908e-27
1.377209e+01	6.945944e-27
1.380384e+01	6.958989e-27
1.383566e+01	6.976398e-27
1.386756e+01	6.989467e-27
1.389953e+01	7.002545e-27
1.393157e+01	7.015636e-27
1.396368e+01	7.028737e-27
1.399587e+01	7.046223e-27
1.402814e+01	7.059350e-27
1.406048e+01	7.072490e-27
1.409289e+01	7.085640e-27
1.412538e+01	7.103193e-27
1.415794e+01	7.116373e-27
1.419058e+01	7.129565e-27
1.422329e+01	7.142770e-27
1.425608e+01	7.160397e-27
1.428894e+01	7.173632e-27
1.432188e+01	7.186881e-27
1.435489e+01	7.200144e-27
1.438799e+01	7.217851e-27
1.442115e+01	7.231146e-27
1.445440e+01	7.244456e-27
1.448772e+01	7.262227e-27
1.452112e+01	7.275572e-27
1.455459e+01	7.288933e-27
1.458814e+01	7.306770e-27
1.462177e+01	7.320167e-27
1.465548e+01	7.338053e-27
1.468926e+01	7.351488e-27
1.472313e+01	7.364939e-27
1.475707e+01	7.382900e-27
1.479108e+01	7.396388e-27
1.482518e+01	7.414403e-27
1.485936e+01	7.427932e-27
1.489361e+01	7.441481e-27
1.492794e+01	7.459573e-27
1.496236e+01	7.473163e-27
1.499685e+01	7.491312e-27
1.503142e+01	7.504945e-27
1.506607e+01	7.523154e-27
1.510080e+01	7.536832e-27
1.513561e+01	7.555100e-27
1.517050e+01	7.568823e-27
1.520548e+01	7.587154e-27
1.524053e+01	7.600925e-27
1.527566e+01	7.619318e-27
1.531087e+01	7.633138e-27
1.534617e+01	7.651596e-27
1.538155e+01	7.665465e-27
1.541700e+01	7.683990e-27
1.545254e+01	7.697908e-27
1.548817e+01	7.716502e-27
1.552387e+01	7.730474e-27
1.555966e+01	7.749137e-27
1.559553e+01	7.767841e-27
1.563148e+01	7.781896e-27
1.566751e+01	7.800673e-27
1.570363e+01	7.814783e-27
1.573983e+01	7.833634e-27
1.577611e+01	7.852528e-27
1.581248e+01	7.866726e-27
1.584893e+01	7.885698e-27
1.588547e+01	7.904713e-27
1.592209e+01	7.919004e-27
1.595879e+01	7.938098e-27
1.599558e+01	7.957239e-27
1.603245e+01	7.971626e-27
1.606941e+01	7.990847e-27
1.610646e+01	8.010117e-27
1.614359e+01	8.024601e-27
1.618080e+01	8.043957e-27
1.621810e+01	8.063359e-27
1.625549e+01	8.082812e-27
1.629296e+01	8.097435e-27
1.633052e+01	8.116976e-27
1.636817e+01	8.136569e-27
1.640590e+01	8.156212e-27
1.644372e+01	8.170979e-27
1.648162e+01	8.190713e-27
1.651962e+01	8.210503e-27
1.655770e+01	8.230344e-27
1.659587e+01	8.250240e-27
1.663413e+01	8.265198e-27
1.667247e+01	8.285191e-27
1.671091e+01	8.305238e-27
1.674943e+01	8.325343e-27
1.678804e+01	8.345504e-27
1.682674e+01	8.365721e-27
1.686553e+01	8.385998e-27
1.690441e+01	8.401242e-27
1.694338e+01	8.421621e-27
1.698244e+01	8.442058e-27
1.702159e+01	8.462556e-27
1.706082e+01	8.483114e-27
1.710015e+01	8.503733e-27
1.713957e+01	8.524413e-27
1.717908e+01	8.545156e-27
1.721869e+01	8.565960e-27
1.725838e+01	8.586829e-27
1.729816e+01	8.607760e-27
1.733804e+01	8.628757e-27
1.737801e+01	8.649817e-27
1.741807e+01	8.670944e-27
1.745822e+01	8.692135e-27
1.749847e+01	8.713394e-27
1.753881e+01	8.734720e-27
1.757924e+01	8.756112e-27
1.761976e+01	8.777573e-27
1.766038e+01	8.799102e-27
1.770109e+01	8.820701e-27
1.774189e+01	8.842368e-27
1.778279e+01	8.864108e-27
1.782379e+01	8.885916e-27
1.786488e+01	8.907797e-27
1.790606e+01	8.935249e-27
1.794734e+01	8.957291e-27
1.798871e+01	8.979406e-27
1.803018e+01	9.001596e-27
1.807174e+01	9.023859e-27
1.811340e+01	9.046198e-27
1.815516e+01	9.074226e-27
1.819701e+01	9.096734e-27
1.823896e+01	9.119318e-27
1.828100e+01	9.141980e-27
1.832314e+01	9.164719e-27
1.836538e+01	9.193254e-27
1.840772e+01	9.216169e-27
1.845015e+01	9.239163e-27
1.849269e+01	9.262238e-27
1.853532e+01	9.291194e-27
1.857804e+01	9.314450e-27
1.862087e+01	9.337788e-27
1.866380e+01	9.361207e-27
1.870682e+01	9.390597e-27
1.874995e+01	9.414204e-27
1.879317e+01	9.437895e-27
1.883649e+01	9.467625e-27
1.887991e+01	9.491505e-27
1.892344e+01	9.515471e-27
1.896706e+01	9.545550e-27
1.901078e+01	9.569711e-27
1.905461e+01	9.593957e-27
1.909853e+01	9.624391e-27
1.914256e+01	9.648836e-27
1.918669e+01	9.679519e-27
1.923092e+01	9.704165e-27
1.927525e+01	9.735101e-27
1.931968e+01	9.759950e-27
1.936422e+01	9.784891e-27
1.940886e+01	9.816197e-27
1.945360e+01	9.841346e-27
1.949845e+01	9.872912e-27
1.954339e+01	9.898270e-27
1.958845e+01	9.930101e-27
1.963360e+01	9.955670e-27
1.967886e+01	9.987769e-27
1.972423e+01	1.001355e-26
1.976970e+01	1.004592e-26
1.981527e+01	1.007844e-26
1.986095e+01	1.010457e-26
1.990673e+01	1.013736e-26
1.995262e+01	1.016371e-26
1.999862e+01	1.019678e-26
2.004472e+01	1.022335e-26
2.009093e+01	1.025671e-26
2.013724e+01	1.029022e-26
2.018366e+01	1.031714e-26
2.023019e+01	1.035094e-26
2.027683e+01	1.038490e-26
2.032357e+01	1.041219e-26
2.037042e+01	1.044644e-26
2.041738e+01	1.048085e-26
2.046445e+01	1.050850e-26
2.051162e+01	1.054321e-26
2.055891e+01	1.057809e-26
2.060630e+01	1.061313e-26
2.065380e+01	1.064129e-26
2.070141e+01	1.067663e-26
2.074914e+01	1.071215e-26
2.079697e+01	1.074783e-26
2.084491e+01	1.077651e-26
2.089296e+01	1.081250e-26
2.094112e+01	1.084867e-26
2.098940e+01	1.088501e-26
2.103778e+01	1.092152e-26
2.108628e+01	1.095821e-26
2.113489e+01	1.098769e-26
2.118361e+01	1.102470e-26
2.123244e+01	1.106189e-26
2.128139e+01	1.109926e-26
2.133045e+01	1.113680e-26
2.137962e+01	1.117453e-26
2.142891e+01	1.121243e-26
2.147830e+01	1.125053e-26
2.152782e+01	1.128880e-26
2.157744e+01	1.132726e-26
2.162719e+01	1.136590e-26
2.167704e+01	1.140473e-26
2.172701e+01	1.144374e-26
2.177710e+01	1.148294e-26
2.182730e+01	1.152233e-26
2.187762e+01	1.156191e-26
2.192805e+01	1.160168e-26
2.197860e+01	1.164164e-26
2.202926e+01	1.168180e-26
2.208005e+01	1.172214e-26
2.213095e+01	1.176268e-26
2.218196e+01	1.180341e-26
2.223310e+01	1.184433e-26
2.228435e+01	1.188546e-26
2.233572e+01	1.193506e-26
2.238721e+01	1.197662e-26
2.243882e+01	1.201837e-26
2.249055e+01	1.206032e-26
2.254239e+01	1.210247e-26
2.259436e+01	1.214482e-26
2.264644e+01	1.219591e-26
2.269865e+01	1.223871e-26
2.275097e+01	1.228170e-26
2.280342e+01	1.232490e-26
2.285599e+01	1.237701e-26
2.290868e+01	1.242066e-26
2.296149e+01	1.246452e-26
2.301442e+01	1.250858e-26
2.306747e+01	1.256173e-26
2.312065e+01	1.260625e-26
2.317395e+01	1.265098e-26
2.322737e+01	1.270493e-26
2.328091e+01	1.275012e-26
2.333458e+01	1.279552e-26
2.338837e+01	1.285028e-26
2.344229e+01	1.289615e-26
2.349633e+01	1.295147e-26
2.355049e+01	1.299781e-26
2.360478e+01	1.304436e-26
2.365920e+01	1.310051e-26
2.371374e+01	1.314753e-26
2.376840e+01	1.320425e-26
2.382319e+01	1.325175e-26
2.387811e+01	1.330904e-26
2.393316e+01	1.335702e-26
2.398833e+01	1.341489e-26
2.404363e+01	1.346336e-26
2.409905e+01	1.352181e-26
2.415461e+01	1.357076e-26
2.421029e+01	1.362980e-26
2.426610e+01	1.368915e-26
