# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
1.000000e+01	5.215563e-27
1.002305e+01	5.229557e-27
1.004616e+01	5.250648e-27
1.006932e+01	5.264779e-27
1.009253e+01	5.278965e-27
1.011579e+01	5.300352e-27
1.013911e+01	5.314682e-27
1.016249e+01	5.329068e-27
1.018591e+01	5.350757e-27
1.020939e+01	5.365290e-27
1.023293e+01	5.379881e-27
1.025652e+01	5.401882e-27
1.028016e+01	5.416624e-27
1.030386e+01	5.431427e-27
1.032761e+01	5.453745e-27
1.035142e+01	5.468702e-27
1.037528e+01	5.491253e-27
1.039920e+01	5.506365e-27
1.042317e+01	5.521541e-27
1.044720e+01	5.544424e-27
1.047129e+01	5.559761e-27
1.049542e+01	5.582886e-27
1.051962e+01	5.598386e-27
1.054387e+01	5.613950e-27
1.056818e+01	5.637421e-27
1.059254e+01	5.653152e-27
1.061696e+01	5.676875e-27
1.064143e+01	5.692776e-27
1.066596e+01	5.716754e-27
1.069055e+01	5.732826e-27
1.071519e+01	5.757064e-27
1.073989e+01	5.773310e-27
1.076465e+01	5.789627e-27
1.078947e+01	5.814234e-27
1.081434e+01	5.830728e-27
1.083927e+01	5.855605e-27
1.086426e+01	5.872279e-27
1.088930e+01	5.897429e-27
1.091440e+01	5.914285e-27
1.093956e+01	5.939710e-27
1.096478e+01	5.956754e-27
1.099006e+01	5.982459e-27
1.101539e+01	6.008334e-27
1.104079e+01	6.025679e-27
1.106624e+01	6.051839e-27
1.109175e+01	6.069376e-27
1.111732e+01	6.095826e-27
1.114295e+01	6.113557e-27
1.116863e+01	6.140301e-27
1.119438e+01	6.158227e-27
1.122018e+01	6.185269e-27
1.124605e+01	6.212488e-27
1.127197e+01	6.230736e-27
1.129796e+01	6.258259e-27
1.132400e+01	6.276709e-27
1.135011e+01	6.304538e-27
1.137627e+01	6.332553e-27
1.140250e+01	6.351332e-27
1.142878e+01	6.379658e-27
1.145513e+01	6.408173e-27
1.148154e+01	6.427288e-27
1.150800e+01	6.456119e-27
1.153453e+01	6.475447e-27
1.156112e+01	6.504600e-27
1.158777e+01	6.533946e-27
1.161449e+01	6.553618e-27
1.164126e+01	6.583292e-27
1.166810e+01	6.613161e-27
1.169499e+01	6.633184e-27
1.172195e+01	6.663386e-27
1.174898e+01	6.693787e-27
1.177606e+01	6.724389e-27
1.180321e+01	6.744904e-27
1.183042e+01	6.775846e-27
1.185769e+01	6.806992e-27
1.188502e+01	6.838344e-27
1.191242e+01	6.859360e-27
1.193988e+01	6.891057e-27
1.196741e+01	6.922964e-27
1.199499e+01	6.944351e-27
1.202264e+01	6.976608e-27
1.205036e+01	7.009076e-27
1.207814e+01	7.041757e-27
1.210598e+01	7.074652e-27
1.213389e+01	7.096702e-27
1.216186e+01	7.129956e-27
1.218990e+01	7.163428e-27
1.221800e+01	7.197118e-27
1.224616e+01	7.231025e-27
1.227439e+01	7.253754e-27
1.230269e+01	7.288029e-27
1.233105e+01	7.322525e-27
1.235947e+01	7.357246e-27
1.238797e+01	7.392191e-27
1.241652e+01	7.427360e-27
1.244515e+01	7.462755e-27
1.247384e+01	7.486478e-27
1.250259e+01	7.522251e-27
1.253141e+01	7.558253e-27
1.256030e+01	7.594485e-27
1.258925e+01	7.630948e-27
1.261828e+01	7.667641e-27
1.264736e+01	7.704567e-27
1.267652e+01	7.741728e-27
1.270574e+01	7.779122e-27
1.273503e+01	7.816751e-27
1.276439e+01	7.841969e-27
1.279381e+01	7.879993e-27
1.282331e+01	7.918255e-27
1.285287e+01	7.956756e-27
