# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
1.000000e+01	5.566793e-27
1.002305e+01	5.576236e-27
1.004616e+01	5.590391e-27
1.006932e+01	5.599820e-27
1.009253e+01	5.609242e-27
1.011579e+01	5.623366e-27
1.013911e+01	5.632775e-27
1.016249e+01	5.642178e-27
1.018591e+01	5.656271e-27
1.020939e+01	5.665663e-27
1.023293e+01	5.675046e-27
1.025652e+01	5.689114e-27
1.028016e+01	5.698486e-27
1.030386e+01	5.707855e-27
1.032761e+01	5.721898e-27
1.035142e+01	5.731255e-27
1.037528e+01	5.745281e-27
1.039920e+01	5.754627e-27
1.042317e+01	5.763968e-27
1.044720e+01	5.777974e-27
1.047129e+01	5.787306e-27
1.049542e+01	5.801298e-27
1.051962e+01	5.810622e-27
1.054387e+01	5.819943e-27
1.056818e+01	5.833916e-27
1.059254e+01	5.843228e-27
1.061696e+01	5.857191e-27
1.064143e+01	5.866496e-27
1.066596e+01	5.880448e-27
1.069055e+01	5.889744e-27
1.071519e+01	5.903689e-27
1.073989e+01	5.912980e-27
1.076465e+01	5.922270e-27
1.078947e+01	5.936201e-27
1.081434e+01	5.945486e-27
1.083927e+01	5.959409e-27
1.086426e+01	5.968689e-27
1.088930e+01	5.982607e-27
1.091440e+01	5.991884e-27
1.093956e+01	6.005796e-27
1.096478e+01	6.015070e-27
1.099006e+01	6.028976e-27
1.101539e+01	6.042884e-27
1.104079e+01	6.052152e-27
1.106624e+01	6.066055e-27
1.109175e+01	6.075324e-27
1.111732e+01	6.089224e-27
1.114295e+01	6.098492e-27
1.116863e+01	6.112391e-27
1.119438e+01	6.121658e-27
1.122018e+01	6.135558e-27
1.124605e+01	6.149459e-27
1.127197e+01	6.158725e-27
1.129796e+01	6.172626e-27
1.132400e+01	6.181896e-27
1.135011e+01	6.195799e-27
1.137627e+01	6.209706e-27
1.140250e+01	6.218977e-27
1.142878e+01	6.232887e-27
1.145513e+01	6.246800e-27
1.148154e+01	6.256075e-27
1.150800e+01	6.269993e-27
1.153453e+01	6.279273e-27
1.156112e+01	6.293197e-27
1.158777e+01	6.307123e-27
1.161449e+01	6.316411e-27
1.164126e+01	6.330347e-27
1.166810e+01	6.344287e-27
1.169499e+01	6.353583e-27
1.172195e+01	6.367531e-27
1.174898e+01	6.381485e-27
1.177606e+01	6.395447e-27
1.180321e+01	6.404757e-27
1.183042e+01	6.418729e-27
1.185769e+01	6.432706e-27
1.188502e+01	6.446692e-27
1.191242e+01	6.456020e-27
1.193988e+01	6.470017e-27
1.196741e+01	6.484025e-27
1.199499e+01	6.493365e-27
1.202264e+01	6.507386e-27
1.205036e+01	6.521415e-27
1.207814e+01	6.535453e-27
1.210598e+01	6.549501e-27
1.213389e+01	6.558870e-27
1.216186e+01	6.572935e-27
1.218990e+01	6.587009e-27
1.221800e+01	6.601095e-27
1.224616e+01	6.615189e-27
1.227439e+01	6.624593e-27
1.230269e+01	6.638708e-27
1.233105e+01	6.652834e-27
1.235947e+01	6.666973e-27
1.238797e+01	6.681123e-27
1.241652e+01	6.695286e-27
1.244515e+01	6.709462e-27
1.247384e+01	6.718921e-27
1.250259e+01	6.733119e-27
1.253141e+01	6.747330e-27
1.256030e+01	6.761557e-27
1.258925e+01	6.775797e-27
1.261828e+01	6.790052e-27
1.264736e+01	6.804322e-27
1.267652e+01	6.818608e-27
1.270574e+01	6.832908e-27
1.273503e+01	6.847225e-27
1.276439e+01	6.856778e-27
1.279381e+01	6.871122e-27
1.282331e+01	6.885482e-27
1.285287e+01	6.899859e-27
1.288250e+01	6.914254e-27
1.291219e+01	6.928666e-27
1.294196e+01	6.943096e-27
1.297179e+01	6.957545e-27
1.300170e+01	6.972011e-27
1.303167e+01	6.986496e-27
1.306171e+01	7.001001e-27
1.309182e+01	7.015525e-27
1.312200e+01	7.030069e-27
1.315225e+01	7.044633e-27
1.318257e+01	7.059216e-27
1.321296e+01	7.073820e-27
1.324342e+01	7.088445e-27
1.327394e+01	7.103093e-27
1.330454e+01	7.117760e-27
1.333521e+01	7.137353e-27
1.336596e+01	7.152071e-27
1.339677e+01	7.166813e-27
1.342765e+01	7.181579e-27
1.345860e+01	7.196367e-27
1.348963e+01	7.211177e-27
1.352073e+01	7.226014e-27
1.355189e+01	7.240873e-27
1.358313e+01	7.255757e-27
1.361445e+01	7.270665e-27
1.364583e+01	7.290580e-27
1.367729e+01	7.305548e-27
1.370882e+01	7.320541e-27
1.374042e+01	7.335560e-27
1.377209e+01	7.350606e-27
1.380384e+01	7.365677e-27
1.383566e+01	7.385816e-27
1.386756e+01	7.400951e-27
1.389953e+01	7.416113e-27
1.393157e+01	7.431304e-27
1.396368e+01	7.446525e-27
1.399587e+01	7.466860e-27
1.402814e+01	7.482148e-27
1.406048e+01	7.497463e-27
1.409289e+01	7.512808e-27
1.412538e+01	7.533316e-27
1.415794e+01	7.548732e-27
1.419058e+01	7.564178e-27
1.422329e+01	7.579657e-27
1.425608e+01	7.600342e-27
1.428894e+01	7.615894e-27
1.432188e+01	7.631476e-27
1.435489e+01	7.647094e-27
1.438799e+01	7.667967e-27
1.442115e+01	7.683658e-27
1.445440e+01	7.699385e-27
1.448772e+01	7.720405e-27
1.452112e+01	7.736212e-27
1.455459e+01	7.752052e-27
1.458814e+01	7.773226e-27
1.462177e+01	7.789147e-27
1.465548e+01	7.810434e-27
1.468926e+01	7.826440e-27
1.472313e+01	7.842482e-27
1.475707e+01	7.863928e-27
1.479108e+01	7.880056e-27
1.482518e+01	7.901619e-27
1.485936e+01	7.917834e-27
1.489361e+01	7.934090e-27
1.492794e+01	7.955822e-27
1.496236e+01	7.972167e-27
1.499685e+01	7.994021e-27
1.503142e+01	8.010460e-27
1.506607e+01	8.032439e-27
1.510080e+01	8.048970e-27
1.513561e+01	8.071076e-27
1.517050e+01	8.087704e-27
1.520548e+01	8.109938e-27
1.524053e+01	8.126664e-27
1.527566e+01	8.149030e-27
1.531087e+01	8.165854e-27
1.534617e+01	8.188356e-27
1.538155e+01	8.205281e-27
1.541700e+01	8.227919e-27
1.545254e+01	8.244948e-27
1.548817e+01	8.267722e-27
1.552387e+01	8.284859e-27
1.555966e+01	8.307775e-27
1.559553e+01	8.330773e-27
1.563148e+01	8.348077e-27
1.566751e+01	8.371222e-27
1.570363e+01	8.388635e-27
1.573983e+01	8.411926e-27
1.577611e+01	8.435305e-27
1.581248e+01	8.452895e-27
1.584893e+01	8.476424e-27
1.588547e+01	8.500041e-27
1.592209e+01	8.517811e-27
1.595879e+01	8.541584e-27
1.599558e+01	8.565447e-27
1.603245e+01	8.583404e-27
1.606941e+01	8.607426e-27
1.610646e+01	8.631541e-27
1.614359e+01	8.649686e-27
1.618080e+01	8.673966e-27
1.621810e+01	8.698336e-27
1.625549e+01	8.722807e-27
1.629296e+01	8.741220e-27
1.633052e+01	8.765858e-27
1.636817e+01	8.790593e-27
1.640590e+01	8.815425e-27
1.644372e+01	8.834116e-27
1.648162e+01	8.859124e-27
1.651962e+01	8.884233e-27
1.655770e+01	8.909444e-27
1.659587e+01	8.934756e-27
1.663413e+01	8.953809e-27
1.667247e+01	8.979304e-27
1.671091e+01	9.004902e-27
1.674943e+01	9.030608e-27
1.678804e+01	9.056422e-27
1.682674e+01	9.082340e-27
1.686553e+01	9.108366e-27
1.690441e+01	9.127959e-27
1.694338e+01	9.154178e-27
1.698244e+01	9.180506e-27
1.702159e+01	9.206948e-27
1.706082e+01	9.233500e-27
1.710015e+01	9.260167e-27
1.713957e+01	9.286947e-27
1.717908e+01	9.313843e-27
1.721869e+01	9.340853e-27
1.725838e+01	9.367980e-27
1.729816e+01	9.395225e-27
1.733804e+01	9.422587e-27
1.737801e+01	9.450069e-27
1.741807e+01	9.477672e-27
1.745822e+01	9.505393e-27
1.749847e+01	9.533239e-27
1.753881e+01	9.561205e-27
1.757924e+01	9.589296e-27
1.761976e+01	9.617511e-27
1.766038e+01	9.645851e-27
1.770109e+01	9.674315e-27
1.774189e+01	9.702908e-27
1.778279e+01	9.731628e-27
1.782379e+01	9.760476e-27
