# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
1.000000e+01	6.264271e-27
1.002305e+01	6.274579e-27
1.004616e+01	6.290045e-27
1.006932e+01	6.300359e-27
1.009253e+01	6.310679e-27
1.011579e+01	6.326160e-27
1.013911e+01	6.336484e-27
1.016249e+01	6.346813e-27
1.018591e+01	6.362309e-27
1.020939e+01	6.372648e-27
1.023293e+01	6.382985e-27
1.025652e+01	6.398504e-27
1.028016e+01	6.408859e-27
1.030386e+01	6.419212e-27
1.032761e+01	6.434754e-27
1.035142e+01	6.445122e-27
1.037528e+01	6.460682e-27
1.039920e+01	6.471063e-27
1.042317e+01	6.481445e-27
1.044720e+01	6.497034e-27
1.047129e+01	6.507434e-27
1.049542e+01	6.523045e-27
1.051962e+01	6.533457e-27
1.054387e+01	6.543878e-27
1.056818e+01	6.559522e-27
1.059254e+01	6.569958e-27
1.061696e+01	6.585627e-27
1.064143e+01	6.596080e-27
1.066596e+01	6.611776e-27
1.069055e+01	6.622248e-27
1.071519e+01	6.637971e-27
1.073989e+01	6.648464e-27
1.076465e+01	6.658964e-27
1.078947e+01	6.674727e-27
1.081434e+01	6.685249e-27
1.083927e+01	6.701046e-27
1.086426e+01	6.711586e-27
1.088930e+01	6.727418e-27
1.091440e+01	6.737980e-27
1.093956e+01	6.753845e-27
1.096478e+01	6.764433e-27
1.099006e+01	6.780331e-27
1.101539e+01	6.796255e-27
1.104079e+01	6.806881e-27
1.106624e+01	6.822839e-27
1.109175e+01	6.833493e-27
1.111732e+01	6.849490e-27
1.114295e+01	6.860172e-27
1.116863e+01	6.876210e-27
1.119438e+01	6.886917e-27
1.122018e+01	6.903001e-27
1.124605e+01	6.919108e-27
1.127197e+01	6.929861e-27
1.129796e+01	6.946013e-27
1.132400e+01	6.956796e-27
1.135011e+01	6.972994e-27
1.137627e+01	6.989222e-27
1.140250e+01	7.000057e-27
1.142878e+01	7.016328e-27
1.145513e+01	7.032634e-27
1.148154e+01	7.043516e-27
1.150800e+01	7.059870e-27
1.153453e+01	7.070791e-27
1.156112e+01	7.087196e-27
1.158777e+01	7.103634e-27
1.161449e+01	7.114606e-27
1.164126e+01	7.131099e-27
1.166810e+01	7.147621e-27
1.169499e+01	7.158657e-27
1.172195e+01	7.175233e-27
1.174898e+01	7.191847e-27
1.177606e+01	7.208497e-27
1.180321e+01	7.219613e-27
1.183042e+01	7.236320e-27
1.185769e+01	7.253063e-27
1.188502e+01	7.269842e-27
1.191242e+01	7.281049e-27
1.193988e+01	7.297889e-27
1.196741e+01	7.314770e-27
1.199499e+01	7.326043e-27
1.202264e+01	7.342985e-27
1.205036e+01	7.359967e-27
1.207814e+01	7.376987e-27
1.210598e+01	7.394048e-27
1.213389e+01	7.405447e-27
1.216186e+01	7.422577e-27
1.218990e+01	7.439746e-27
1.221800e+01	7.456960e-27
1.224616e+01	7.474213e-27
1.227439e+01	7.485741e-27
1.230269e+01	7.503067e-27
1.233105e+01	7.520438e-27
1.235947e+01	7.537852e-27
1.238797e+01	7.555310e-27
1.241652e+01	7.572814e-27
1.244515e+01	7.590366e-27
1.247384e+01	7.602091e-27
1.250259e+01	7.619717e-27
1.253141e+01	7.637391e-27
1.256030e+01	7.655112e-27
1.258925e+01	7.672883e-27
1.261828e+01	7.690700e-27
1.264736e+01	7.708569e-27
1.267652e+01	7.726485e-27
1.270574e+01	7.744453e-27
1.273503e+01	7.762470e-27
1.276439e+01	7.774509e-27
1.279381e+01	7.792612e-27
1.282331e+01	7.810765e-27
1.285287e+01	7.828974e-27
1.288250e+01	7.847233e-27
1.291219e+01	7.865547e-27
1.294196e+01	7.883910e-27
1.297179e+01	7.902334e-27
1.300170e+01	7.920811e-27
1.303167e+01	7.939340e-27
1.306171e+01	7.957929e-27
1.309182e+01	7.976573e-27
1.312200e+01	7.995274e-27
1.315225e+01	8.014033e-27
1.318257e+01	8.032848e-27
1.321296e+01	8.051723e-27
1.324342e+01	8.070655e-27
1.327394e+01	8.089651e-27
1.330454e+01	8.108703e-27
1.333521e+01	8.134201e-27
1.336596e+01	8.153400e-27
1.339677e+01	8.172656e-27
1.342765e+01	8.191977e-27
1.345860e+01	8.211358e-27
1.348963e+01	8.230806e-27
1.352073e+01	8.250316e-27
1.355189e+01	8.269889e-27
1.358313e+01	8.289529e-27
1.361445e+01	8.309237e-27
1.364583e+01	8.335613e-27
1.367729e+01	8.355474e-27
1.370882e+01	8.375400e-27
1.374042e+01	8.395399e-27
1.377209e+01	8.415462e-27
1.380384e+01	8.435593e-27
1.383566e+01	8.462548e-27
1.386756e+01	8.482841e-27
1.389953e+01	8.503209e-27
1.393157e+01	8.523651e-27
1.396368e+01	8.544158e-27
1.399587e+01	8.571618e-27
1.402814e+01	8.592299e-27
1.406048e+01	8.613053e-27
1.409289e+01	8.633881e-27
1.412538e+01	8.661768e-27
1.415794e+01	8.682775e-27
1.419058e+01	8.703854e-27
1.422329e+01	8.725012e-27
1.425608e+01	8.753340e-27
1.428894e+01	8.774680e-27
1.432188e+01	8.796096e-27
1.435489e+01	8.817591e-27
1.438799e+01	8.846377e-27
1.442115e+01	8.868063e-27
1.445440e+01	8.889825e-27
1.448772e+01	8.918972e-27
1.452112e+01	8.940928e-27
1.455459e+01	8.962968e-27
1.458814e+01	8.992483e-27
1.462177e+01	9.014719e-27
1.465548e+01	9.044498e-27
1.468926e+01	9.066932e-27
1.472313e+01	9.089455e-27
1.475707e+01	9.119619e-27
1.479108e+01	9.142342e-27
1.482518e+01	9.172781e-27
1.485936e+01	9.195712e-27
1.489361e+01	9.218736e-27
1.492794e+01	9.249572e-27
1.496236e+01	9.272804e-27
1.499685e+01	9.303925e-27
1.503142e+01	9.327374e-27
1.506607e+01	9.358783e-27
1.510080e+01	9.382452e-27
1.513561e+01	9.414156e-27
1.517050e+01	9.438043e-27
1.520548e+01	9.470047e-27
1.524053e+01	9.494160e-27
1.527566e+01	9.526463e-27
1.531087e+01	9.550808e-27
1.534617e+01	9.583418e-27
1.538155e+01	9.607991e-27
1.541700e+01	9.640913e-27
1.545254e+01	9.665724e-27
1.548817e+01	9.698959e-27
1.552387e+01	9.724008e-27
1.555966e+01	9.757568e-27
1.559553e+01	9.791311e-27
1.563148e+01	9.816744e-27
1.566751e+01	9.850814e-27
1.570363e+01	9.876493e-27
1.573983e+01	9.910896e-27
1.577611e+01	9.945489e-27
1.581248e+01	9.971564e-27
1.584893e+01	1.000650e-26
1.588547e+01	1.004163e-26
1.592209e+01	1.006811e-26
1.595879e+01	1.010359e-26
1.599558e+01	1.013927e-26
1.603245e+01	1.016616e-26
1.606941e+01	1.020219e-26
1.610646e+01	1.023843e-26
1.614359e+01	1.026574e-26
1.618080e+01	1.030234e-26
1.621810e+01	1.033915e-26
1.625549e+01	1.037617e-26
1.629296e+01	1.040408e-26
1.633052e+01	1.044147e-26
1.636817e+01	1.047908e-26
1.640590e+01	1.051690e-26
1.644372e+01	1.054541e-26
1.648162e+01	1.058361e-26
1.651962e+01	1.062204e-26
1.655770e+01	1.066068e-26
1.659587e+01	1.069956e-26
1.663413e+01	1.072886e-26
1.667247e+01	1.076813e-26
1.671091e+01	1.080762e-26
1.674943e+01	1.084735e-26
1.678804e+01	1.088731e-26
1.682674e+01	1.092750e-26
1.686553e+01	1.096792e-26
1.690441e+01	1.099840e-26
1.694338e+01	1.103924e-26
1.698244e+01	1.108031e-26
1.702159e+01	1.112163e-26
1.706082e+01	1.116319e-26
1.710015e+01	1.120500e-26
1.713957e+01	1.124705e-26
1.717908e+01	1.128935e-26
1.721869e+01	1.133190e-26
1.725838e+01	1.137470e-26
1.729816e+01	1.141775e-26
1.733804e+01	1.146105e-26
1.737801e+01	1.150461e-26
1.741807e+01	1.154842e-26
1.745822e+01	1.159250e-26
1.749847e+01	1.163683e-26
