log T	log cool/n2
4.00	-25.603
4.10	-23.595
4.20	-22.056
4.30	-21.869
4.40	-22.021
4.50	-22.077
4.60	-22.053
4.70	-21.941
4.80	-21.747
4.90	-21.561
5.00	-21.529
5.10	-21.581
5.20	-21.582
5.30	-21.573
5.40	-21.578
5.50	-21.762
5.60	-21.977
5.70	-22.032
5.80	-22.092
5.90	-22.157
6.00	-22.161
6.10	-22.171
6.20	-22.218
6.30	-22.376
6.40	-22.533
6.50	-22.652
6.60	-22.730
6.70	-22.764
6.80	-22.776
6.90	-22.774
7.00	-22.764
7.10	-22.754
7.20	-22.760
7.30	-22.760
7.40	-22.744
7.50	-22.716
7.60	-22.681
7.70	-22.641
7.80	-22.598
7.90	-22.553
8.00	-22.506
